10987,0
10897,7
10666,6
10417,0
10169,0
9918,4
9671,9
9431,3
9185,6
8943,2
8690,9
8439,9
8187,9
7936,2
7685,7
7433,7
7180,7
6929,7
6685,3
6457,9
6229,8
6000,4
5771,5
5542,4
5315,5
5085,9
4857,6
4625,7
4398,5
4171,2
3941,3
3712,7
3483,4
3254,7
3028,1
2799,5
2571,8
2341,7
2112,6
1886,0
1655,3
1428,1
1201,0
969,6
741,3
509,7
279,9
136,6
5539,4
4834,6
4697,3
4541,9
4409,8
4284,2
4157,8
4032,2
3907,0
3781,5
3656,0
3530,0
3404,2
3278,5
3152,9
3027,6
2901,6
2775,7
2650,2
2524,7
2398,7
2273,4
2146,4
2019,4
1893,0
1767,3
1640,1
1514,3
1388,1
1262,7
1137,3
1012,0
886,3
760,8
634,8
509,0
382,9
256,9
124,9
137,7
121,2
129,8
118,3
121,3
129,9
11434,0
11397,6
11388,8
11384,1
11380,2
11375,5
11369,8
11366,1
11365,1
11364,6
11364,6
11364,2
11363,7
11363,4
11363,9
11364,1
11363,2
11363,2
11362,9
11362,7
11362,4
11362,7
11361,9
11354,6
11345,0
11341,5
11340,3
11335,6
11330,7
11322,1
11320,0
