10087,9
10022,5
9895,7
9769,0
9642,0
9515,0
9387,1
9259,3
9131,6
9004,2
8875,9
8748,0
8620,2
8492,5
8364,6
8236,6
8109,4
7981,7
7853,7
7726,0
7598,3
7470,5
7342,6
7214,6
7087,1
6959,4
6831,4
6703,0
6575,0
6447,3
6319,1
6190,8
6062,8
5935,4
5807,9
5679,4
5551,8
5423,8
5296,5
5168,8
5040,8
4913,4
4785,1
4657,4
4529,5
4402,3
4274,3
4156,4
4029,5
3901,7
3774,1
3646,6
3518,6
3390,6
3262,9
3135,9
3008,6
2880,3
2752,5
2624,6
2496,8
2369,1
2240,9
2113,4
1985,6
1857,8
1730,1
1602,1
1474,2
1346,6
1219,3
1091,7
964,0
836,1
708,7
581,2
454,3
326,6
198,4
259,6
131,8
147,9
169,4
147,6
209,2
147,1
134,4
123,4
131,3
11381,1
11310,2
11298,9
11290,2
11280,2
11271,5
11264,6
11263,9
